EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,LATITUDE_deg,LONGITUDE_deg,ALTITUDE_km,ION_DENSITY_m-3,ELECTRON_TEMPERATURE_K,ISS_PITCH_ANGLE_deg,SUNLIGHT_%,TIME_CODE_CORRECTION_
2020-09-13T04:14:11.436Z,-48.6300,100.199,436.935,1.29000e+11,3701.00,358.000,100.000,0
2020-09-13T04:14:11.938Z,-48.6420,100.243,436.940,1.29000e+11,3701.00,358.000,100.000,1
2020-09-13T04:14:12.440Z,-48.6530,100.286,436.944,-1.00000e+31,-999.000,358.000,100.000,0
2020-09-13T04:14:12.440Z,-48.6530,100.286,436.944,1.08000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:13.439Z,-48.6760,100.373,436.954,1.07000e+11,2512.00,358.000,100.000,0
2020-09-13T04:14:14.440Z,-48.6980,100.460,436.963,1.14000e+11,3227.00,358.000,100.000,0
2020-09-13T04:14:15.444Z,-48.7210,100.548,436.972,1.16000e+11,2621.00,358.000,100.000,0
2020-09-13T04:14:16.443Z,-48.7430,100.635,436.981,1.17000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:17.444Z,-48.7650,100.722,436.991,1.18000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:18.443Z,-48.7870,100.809,437.000,1.18000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:19.447Z,-48.8100,100.896,437.009,1.17000e+11,2981.00,358.000,100.000,0
2020-09-13T04:14:20.448Z,-48.8320,100.984,437.018,1.19000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:21.448Z,-48.8540,101.071,437.027,1.18000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:22.447Z,-48.8750,101.159,437.036,1.19000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:23.451Z,-48.8970,101.247,437.045,1.19000e+11,2994.00,358.000,100.000,0
2020-09-13T04:14:24.452Z,-48.9190,101.335,437.054,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:25.451Z,-48.9410,101.423,437.063,1.20000e+11,2610.00,358.000,100.000,0
2020-09-13T04:14:26.452Z,-48.9620,101.511,437.072,1.20000e+11,2703.00,358.000,100.000,0
2020-09-13T04:14:27.456Z,-48.9840,101.599,437.081,1.19000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:28.455Z,-49.0060,101.687,437.090,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:29.455Z,-49.0270,101.775,437.098,1.20000e+11,2730.00,358.000,100.000,0
2020-09-13T04:14:30.456Z,-49.0480,101.863,437.107,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:31.455Z,-49.0700,101.952,437.116,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:32.459Z,-49.0910,102.040,437.125,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:33.460Z,-49.1120,102.128,437.133,1.19000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:34.459Z,-49.1330,102.217,437.142,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:35.462Z,-49.1540,102.306,437.150,1.20000e+11,-999.000,358.000,100.000,1
2020-09-13T04:14:36.464Z,-49.1750,102.395,437.159,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:37.464Z,-49.1960,102.483,437.168,1.23000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:38.463Z,-49.2160,102.572,437.176,1.23000e+11,3296.00,358.000,100.000,0
2020-09-13T04:14:39.467Z,-49.2370,102.662,437.185,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:40.468Z,-49.2570,102.751,437.193,1.19000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:41.467Z,-49.2780,102.840,437.201,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:42.468Z,-49.2980,102.929,437.210,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:43.467Z,-49.3190,103.018,437.218,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:44.470Z,-49.3390,103.108,437.227,1.21000e+11,-999.000,358.000,100.000,1
2020-09-13T04:14:45.472Z,-49.3590,103.197,437.235,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:46.472Z,-49.3790,103.286,437.243,1.25000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:47.471Z,-49.3990,103.376,437.251,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:48.473Z,-49.4190,103.466,437.259,1.21000e+11,-999.000,358.000,100.000,1
2020-09-13T04:14:49.476Z,-49.4400,103.556,437.268,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:50.480Z,-49.4600,103.646,437.276,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:51.479Z,-49.4790,103.736,437.284,1.24000e+11,2912.00,358.000,100.000,0
2020-09-13T04:14:52.480Z,-49.4990,103.826,437.292,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:53.481Z,-49.5180,103.915,437.300,1.21000e+11,2742.00,358.000,100.000,1
2020-09-13T04:14:54.483Z,-49.5380,104.006,437.308,1.21000e+11,2875.00,358.000,100.000,0
2020-09-13T04:14:55.483Z,-49.5570,104.097,437.316,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:56.484Z,-49.5770,104.187,437.324,1.23000e+11,3215.00,358.000,100.000,0
2020-09-13T04:14:57.483Z,-49.5960,104.277,437.332,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:14:58.487Z,-49.6150,104.367,437.340,1.19000e+11,2694.00,358.000,100.000,0
2020-09-13T04:14:59.488Z,-49.6340,104.458,437.347,1.21000e+11,2851.00,358.000,100.000,1
2020-09-13T04:15:00.487Z,-49.6530,104.548,437.355,1.21000e+11,3337.00,358.000,100.000,0
2020-09-13T04:15:01.488Z,-49.6720,104.639,437.363,1.20000e+11,3381.00,358.000,100.000,0
2020-09-13T04:15:02.488Z,-49.6910,104.729,437.371,1.24000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:03.492Z,-49.7100,104.821,437.378,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:04.491Z,-49.7290,104.912,437.386,1.23000e+11,2957.00,358.000,100.000,0
2020-09-13T04:15:05.493Z,-49.7470,105.003,437.394,1.23000e+11,-999.000,358.000,100.000,1
2020-09-13T04:15:06.496Z,-49.7660,105.094,437.401,1.23000e+11,2685.00,358.000,100.000,0
2020-09-13T04:15:07.495Z,-49.7850,105.185,437.409,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:08.496Z,-49.8030,105.276,437.417,1.24000e+11,3186.00,358.000,100.000,0
2020-09-13T04:15:09.495Z,-49.8210,105.367,437.424,1.22000e+11,3278.00,358.000,100.000,0
2020-09-13T04:15:10.499Z,-49.8400,105.459,437.431,1.23000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:11.500Z,-49.8580,105.549,437.439,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:12.500Z,-49.8760,105.641,437.446,1.24000e+11,3542.00,358.000,100.000,0
2020-09-13T04:15:13.499Z,-49.8940,105.732,437.454,1.24000e+11,2905.00,358.000,100.000,0
2020-09-13T04:15:14.500Z,-49.9120,105.824,437.461,1.23000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:15.504Z,-49.9300,105.916,437.468,1.23000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:16.503Z,-49.9480,106.008,437.476,1.21000e+11,2724.00,358.000,100.000,0
2020-09-13T04:15:17.504Z,-49.9660,106.099,437.483,1.24000e+11,3492.00,358.000,100.000,0
2020-09-13T04:15:18.504Z,-49.9830,106.191,437.490,1.23000e+11,3429.00,358.000,100.000,0
2020-09-13T04:15:19.508Z,-50.0010,106.284,437.497,1.22000e+11,3012.00,358.000,100.000,0
2020-09-13T04:15:20.507Z,-50.0180,106.376,437.504,1.22000e+11,3824.00,358.000,100.000,0
2020-09-13T04:15:21.508Z,-50.0360,106.468,437.511,1.23000e+11,3272.00,358.000,100.000,0
2020-09-13T04:15:22.512Z,-50.0530,106.560,437.519,1.22000e+11,3436.00,358.000,100.000,0
2020-09-13T04:15:23.511Z,-50.0700,106.652,437.526,1.24000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:24.512Z,-50.0880,106.744,437.533,1.21000e+11,2978.00,358.000,100.000,0
2020-09-13T04:15:25.511Z,-50.1050,106.837,437.540,1.21000e+11,2850.00,358.000,100.000,0
2020-09-13T04:15:26.515Z,-50.1220,106.929,437.546,1.23000e+11,2919.00,358.000,100.000,0
2020-09-13T04:15:27.516Z,-50.1390,107.021,437.553,1.24000e+11,2880.00,358.000,100.000,0
2020-09-13T04:15:28.516Z,-50.1550,107.114,437.560,1.22000e+11,3786.00,358.000,100.000,0
2020-09-13T04:15:29.515Z,-50.1720,107.207,437.567,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:30.519Z,-50.1890,107.300,437.574,1.21000e+11,3094.00,358.000,100.000,0
2020-09-13T04:15:31.520Z,-50.2050,107.392,437.581,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:32.519Z,-50.2220,107.485,437.587,1.22000e+11,3426.00,358.000,100.000,0
2020-09-13T04:15:33.520Z,-50.2380,107.578,437.594,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:34.520Z,-50.2540,107.671,437.601,1.23000e+11,3295.00,358.000,100.000,0
2020-09-13T04:15:35.523Z,-50.2710,107.764,437.607,1.21000e+11,3430.00,358.000,100.000,0
2020-09-13T04:15:36.523Z,-50.2870,107.857,437.614,1.23000e+11,3132.00,358.000,100.000,0
2020-09-13T04:15:37.525Z,-50.3030,107.951,437.621,1.23000e+11,-999.000,358.000,100.000,1
2020-09-13T04:15:38.528Z,-50.3190,108.044,437.627,1.24000e+11,2620.00,358.000,100.000,0
2020-09-13T04:15:39.527Z,-50.3350,108.137,437.634,1.22000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:40.528Z,-50.3510,108.230,437.640,1.22000e+11,3532.00,358.000,100.000,0
2020-09-13T04:15:41.527Z,-50.3670,108.324,437.646,1.23000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:42.531Z,-50.3830,108.417,437.653,1.25000e+11,2934.00,358.000,100.000,0
2020-09-13T04:15:43.532Z,-50.3990,108.511,437.659,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:44.532Z,-50.4140,108.604,437.666,1.20000e+11,3637.00,358.000,100.000,0
2020-09-13T04:15:45.531Z,-50.4290,108.698,437.672,1.22000e+11,3662.00,358.000,100.000,0
2020-09-13T04:15:46.535Z,-50.4450,108.792,437.678,1.23000e+11,2896.00,358.000,100.000,0
2020-09-13T04:15:47.536Z,-50.4600,108.886,437.684,1.22000e+11,2475.00,358.000,100.000,0
2020-09-13T04:15:48.535Z,-50.4750,108.979,437.690,1.22000e+11,3594.00,358.000,100.000,0
2020-09-13T04:15:49.536Z,-50.4900,109.073,437.697,1.23000e+11,2837.00,358.000,100.000,1
2020-09-13T04:15:50.535Z,-50.5050,109.167,437.703,1.21000e+11,3254.00,358.000,100.000,0
2020-09-13T04:15:51.539Z,-50.5200,109.262,437.709,1.21000e+11,3346.00,358.000,100.000,0
2020-09-13T04:15:52.540Z,-50.5350,109.356,437.715,1.20000e+11,3899.00,358.000,100.000,0
2020-09-13T04:15:53.540Z,-50.5500,109.450,437.721,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:15:54.544Z,-50.5650,109.544,437.727,1.21000e+11,3617.00,358.000,100.000,0
2020-09-13T04:15:55.543Z,-50.5790,109.639,437.733,1.19000e+11,2761.00,358.000,100.000,0
2020-09-13T04:15:56.544Z,-50.5940,109.733,437.739,1.22000e+11,3307.00,358.000,100.000,0
2020-09-13T04:15:57.543Z,-50.6090,109.827,437.745,1.19000e+11,2543.00,358.000,100.000,0
2020-09-13T04:15:58.546Z,-50.6230,109.922,437.750,1.20000e+11,2867.00,358.000,100.000,1
2020-09-13T04:15:59.548Z,-50.6370,110.017,437.756,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:16:00.548Z,-50.6520,110.111,437.762,1.20000e+11,3591.00,358.000,100.000,0
2020-09-13T04:16:01.547Z,-50.6660,110.206,437.768,1.20000e+11,3228.00,358.000,100.000,0
2020-09-13T04:16:02.551Z,-50.6800,110.300,437.774,1.20000e+11,2550.00,358.000,100.000,0
2020-09-13T04:16:03.552Z,-50.6940,110.395,437.779,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:16:04.551Z,-50.7080,110.490,437.785,1.20000e+11,3297.00,358.000,100.000,0
2020-09-13T04:16:05.552Z,-50.7210,110.585,437.790,1.18000e+11,-999.000,358.000,100.000,0
2020-09-13T04:16:06.556Z,-50.7350,110.680,437.796,1.22000e+11,3773.00,358.000,100.000,0
2020-09-13T04:16:07.555Z,-50.7490,110.775,437.802,1.21000e+11,2727.00,358.000,100.000,0
2020-09-13T04:16:08.556Z,-50.7620,110.870,437.807,1.21000e+11,-999.000,358.000,100.000,0
2020-09-13T04:16:09.556Z,-50.7750,110.965,437.812,1.18000e+11,2778.00,358.000,100.000,0
2020-09-13T04:16:10.555Z,-50.7890,111.060,437.818,1.21000e+11,3340.00,358.000,100.000,0
2020-09-13T04:16:11.559Z,-50.8020,111.156,437.823,1.20000e+11,3302.00,358.000,100.000,0
2020-09-13T04:16:12.560Z,-50.8150,111.251,437.829,1.22000e+11,3087.00,358.000,100.000,1
2020-09-13T04:16:13.559Z,-50.8280,111.346,437.834,1.19000e+11,3174.00,358.000,100.000,0
2020-09-13T04:16:14.563Z,-50.8410,111.442,437.839,1.19000e+11,2999.00,358.000,100.000,0
2020-09-13T04:16:15.564Z,-50.8540,111.538,437.845,1.19000e+11,3242.00,358.000,100.000,0
2020-09-13T04:16:16.563Z,-50.8670,111.633,437.850,1.22000e+11,-999.000,358.000,100.000,1
2020-09-13T04:16:17.563Z,-50.8800,111.729,437.855,1.20000e+11,-999.000,358.000,100.000,0
2020-09-13T04:16:18.565Z,-50.8930,111.824,437.860,1.21000e+11,3370.00,358.000,100.000,1
2020-09-13T04:16:19.568Z,-50.9050,111.920,437.865,1.20000e+11,2771.00,358.000,100.000,0
2020-09-13T04:16:20.567Z,-50.9180,112.016,437.870,1.22000e+11,3512.00,358.000,100.000,0
